file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724339.fastq.gz	FASTQ	DNA	560303	1194276293	68	2131.5	152015	413	813	1860	0	5802	17524	71	46	14.18	43.91	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724384.fastq.gz	FASTQ	DNA	417702	713564194	61	1708.3	137744	378	719	1557	0	3905	13527	70	46	13.89	44.27	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724344.fastq.gz	FASTQ	DNA	749724	1507440249	70	2010.7	159860	342	691	1690	0	6039	19811	70	46	14.05	44.63	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724406.fastq.gz	FASTQ	DNA	519785	1060683033	75	2040.6	178219	394	762	1752	0	5581	16603	70	46	14.14	44.45	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724347.fastq.gz	FASTQ	DNA	383483	615481439	77	1605.0	112614	392	739	1539	0	3324	12286	70	47	13.74	44.02	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724346.fastq.gz	FASTQ	DNA	789874	1449423520	71	1835.0	130694	393	776	1739	0	4271	18235	71	47	14.04	44.66	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724350.fastq.gz	FASTQ	DNA	515665	739050862	64	1433.2	146912	340	634	1337	0	3005	13478	69	45	13.58	43.78	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724410.fastq.gz	FASTQ	DNA	991776	1577958288	77	1591.0	115874	487	818	1646	0	2884	15674	81	64	15.80	44.42	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724351.fastq.gz	FASTQ	DNA	499485	848816099	78	1699.4	108645	385	727	1582	0	3851	14513	71	47	13.92	44.37	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724349.fastq.gz	FASTQ	DNA	665067	908915439	70	1366.7	118269	356	647	1307	0	2616	14390	69	46	13.54	43.99	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724348.fastq.gz	FASTQ	DNA	717571	1182843283	68	1648.4	196914	375	723	1542	0	3566	17029	70	46	13.74	44.46	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724355.fastq.gz	FASTQ	DNA	446778	726180684	66	1625.4	154720	406	779	1659	0	3247	12712	70	47	13.77	45.20	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724403.fastq.gz	FASTQ	DNA	736046	1386369309	73	1883.5	227508	376	724	1625	0	4922	19098	70	46	13.96	44.70	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724354.fastq.gz	FASTQ	DNA	565664	954999808	66	1688.3	168483	363	746	1703	0	3769	14244	70	46	13.73	45.33	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724352.fastq.gz	FASTQ	DNA	631171	982482445	66	1556.6	426609	379	745	1598	0	3124	13996	70	46	13.64	45.05	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326021.fastq.gz	FASTQ	DNA	85068	179685981	90	2112.3	53532	404	978	2469	0	4551	6130	42	12	9.87	46.34	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724353.fastq.gz	FASTQ	DNA	547514	1155561406	65	2110.6	119854	437	936	2241	0	4718	15461	71	47	14.10	45.11	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724356.fastq.gz	FASTQ	DNA	649372	988977999	73	1523.0	442215	370	714	1528	0	3064	14523	70	47	13.69	44.98	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724389.fastq.gz	FASTQ	DNA	285438	745460785	70	2611.6	180874	395	858	2245	0	8226	13134	71	46	14.37	44.74	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724357.fastq.gz	FASTQ	DNA	684725	1070124025	69	1562.9	111098	357	701	1518	0	3380	15386	70	47	13.79	44.30	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724362.fastq.gz	FASTQ	DNA	445344	785258421	72	1763.3	182164	424	801	1708	0	3759	13767	70	47	13.90	44.07	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724358.fastq.gz	FASTQ	DNA	521959	963363538	67	1845.7	117204	421	853	1918	0	3892	14322	71	47	13.91	44.47	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724360.fastq.gz	FASTQ	DNA	831249	1117284300	70	1344.1	127401	338	629	1299	0	2666	15404	69	46	13.52	44.20	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724364.fastq.gz	FASTQ	DNA	541185	764109860	77	1411.9	156754	397	737	1502	0	2538	11782	70	48	13.66	44.67	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326020.fastq.gz	FASTQ	DNA	154105	430691964	123	2794.8	64290	543	1364	3354	0	5862	9713	42	12	9.87	47.46	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724359.fastq.gz	FASTQ	DNA	810671	1383414115	69	1706.5	108109	392	790	1792	0	3591	15864	71	47	13.92	44.62	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724363.fastq.gz	FASTQ	DNA	731352	1162536698	74	1589.6	155051	409	766	1610	0	3176	14993	71	48	13.90	44.41	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724368.fastq.gz	FASTQ	DNA	472923	897698256	63	1898.2	123531	435	881	1995	0	4035	13841	70	47	13.85	46.14	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724376.fastq.gz	FASTQ	DNA	363050	873210609	67	2405.2	149522	377	799	2064	0	7316	14700	69	45	14.14	44.69	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724372.fastq.gz	FASTQ	DNA	482395	972198775	67	2015.4	128030	382	805	2007	0	4984	14749	71	47	14.14	44.19	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724378.fastq.gz	FASTQ	DNA	482500	1122459765	69	2326.3	148017	424	845	2010	0	6602	17030	71	47	14.32	45.26	0
