sample,fastq_1,fastq_2,input_bam,entrypoint,platform,assay,datatype,pair,concatemer,read_type,enrichment
SRR36603439,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR36603439.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,,true,ont,other
SRR36603440,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR36603440.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA1393863,true,ont,other
SRR36603441,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR36603441.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA1393863,true,ont,other
SRR36603442,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR36603442.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA1393863,true,ont,other
