sample,fastq_1,fastq_2,data_type
ecc-ct-L1,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-L1_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-L1_R2.fastq.gz,eccDNA
ecc-ct-L2,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-L2_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-L2_R2.fastq.gz,eccDNA
ecc-ct-R1,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-R1_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-R1_R2.fastq.gz,eccDNA
ecc-ct-R2,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-R2_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-ct-R2_R2.fastq.gz,eccDNA
ecc-dt4-L1,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-L1_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-L1_R2.fastq.gz,eccDNA
ecc-dt4-L2,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-L2_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-L2_R2.fastq.gz,eccDNA
ecc-dt4-R1,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-R1_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-R1_R2.fastq.gz,eccDNA
ecc-dt4-R2,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-R2_R1.fastq.gz,/data2/users/liuqi/eccdna/drought/ecc/ecc-dt4-R2_R2.fastq.gz,eccDNA
