sample,fastq_1,fastq_2,data_type
CRR1082975,/data1/users/siyangming/PlanteccDNADB/eccDNA/Lycium_ruthenicum/CRR1082975_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Lycium_ruthenicum/CRR1082975_2.fastq.gz,eccDNA
CRR1082976,/data1/users/siyangming/PlanteccDNADB/eccDNA/Lycium_ruthenicum/CRR1082976_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Lycium_ruthenicum/CRR1082976_2.fastq.gz,eccDNA
