sample,fastq_1,fastq_2,input_bam,entrypoint,platform,assay,datatype,pair,concatemer,read_type,enrichment
SRR31773424,/data1/users/siyangming/PlanteccDNADB/eccDNA/Helianthus_annuus/SRR31773424.fastq.gz,,,cleaned_fastq,ont,enriched,eccdna,,false,ont,other
SRR31773425,/data1/users/siyangming/PlanteccDNADB/eccDNA/Helianthus_annuus/SRR31773425.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA1200253,false,ont,none
SRR31773426,/data1/users/siyangming/PlanteccDNADB/eccDNA/Helianthus_annuus/SRR31773426.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA1200253,false,ont,none
SRR31773427,/data1/users/siyangming/PlanteccDNADB/eccDNA/Helianthus_annuus/SRR31773427.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA1200253,false,ont,none
