dataset	sample	engine	source	output	output_rows
Alopecurus_myosuroides_longread	SRR26069820	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/ecc_finder_slim/ont/ont_merge/SRR26069820.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069820/SRR26069820.eccfinder.filtered.bed	168
Alopecurus_myosuroides_longread	SRR26069820	circleseeker	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/circleseeker/SRR26069820/SRR26069820.circleseeker.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069820/SRR26069820.circleseeker.filtered.bed	171
Alopecurus_myosuroides_longread	SRR26069821	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/cresil/genome/SRR26069821.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069821/SRR26069821.cresil.filtered.bed	21
Alopecurus_myosuroides_longread	SRR26069821	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR26069821.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069821/SRR26069821.fled.filtered.bed	11
Alopecurus_myosuroides_longread	SRR26069821	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/ecc_finder_slim/ont/ont_merge/SRR26069821.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069821/SRR26069821.eccfinder.filtered.bed	159
Alopecurus_myosuroides_longread	SRR26069821	circleseeker	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/circleseeker/SRR26069821/SRR26069821.circleseeker.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069821/SRR26069821.circleseeker.filtered.bed	88
Alopecurus_myosuroides_longread	SRR26069822	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/cresil/genome/SRR26069822.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069822/SRR26069822.cresil.filtered.bed	26
Alopecurus_myosuroides_longread	SRR26069822	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR26069822.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069822/SRR26069822.fled.filtered.bed	26
Alopecurus_myosuroides_longread	SRR26069822	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/ecc_finder_slim/ont/ont_merge/SRR26069822.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069822/SRR26069822.eccfinder.filtered.bed	126
Alopecurus_myosuroides_longread	SRR26069822	circleseeker	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/circleseeker/SRR26069822/SRR26069822.circleseeker.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069822/SRR26069822.circleseeker.filtered.bed	163
Alopecurus_myosuroides_longread	SRR26069823	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/cresil/genome/SRR26069823.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069823/SRR26069823.cresil.filtered.bed	12
Alopecurus_myosuroides_longread	SRR26069823	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR26069823.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069823/SRR26069823.fled.filtered.bed	11
Alopecurus_myosuroides_longread	SRR26069823	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/ecc_finder_slim/ont/ont_merge/SRR26069823.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069823/SRR26069823.eccfinder.filtered.bed	141
Alopecurus_myosuroides_longread	SRR26069823	circleseeker	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/circleseeker/SRR26069823/SRR26069823.circleseeker.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069823/SRR26069823.circleseeker.filtered.bed	115
Alopecurus_myosuroides_longread	SRR26069824	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/cresil/genome/SRR26069824.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069824/SRR26069824.cresil.filtered.bed	19
Alopecurus_myosuroides_longread	SRR26069824	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR26069824.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069824/SRR26069824.fled.filtered.bed	5
Alopecurus_myosuroides_longread	SRR26069824	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/ecc_finder_slim/ont/ont_merge/SRR26069824.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069824/SRR26069824.eccfinder.filtered.bed	162
Alopecurus_myosuroides_longread	SRR26069824	circleseeker	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/circleseeker/SRR26069824/SRR26069824.circleseeker.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Alopecurus_myosuroides_longread/long_read/filtering/SRR26069824/SRR26069824.circleseeker.filtered.bed	127
Amaranthus_palmeri_longread	SRR16958684	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958684.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958684/SRR16958684.cresil.filtered.bed	60
Amaranthus_palmeri_longread	SRR16958684	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958684.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958684/SRR16958684.fled.filtered.bed	18
Amaranthus_palmeri_longread	SRR16958684	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958684.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958684/SRR16958684.eccfinder.filtered.bed	347
Amaranthus_palmeri_longread	SRR16958685	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958685.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958685/SRR16958685.cresil.filtered.bed	96
Amaranthus_palmeri_longread	SRR16958685	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958685.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958685/SRR16958685.fled.filtered.bed	58
Amaranthus_palmeri_longread	SRR16958685	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958685.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958685/SRR16958685.eccfinder.filtered.bed	1298
Amaranthus_palmeri_longread	SRR16958686	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958686.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958686/SRR16958686.cresil.filtered.bed	49
Amaranthus_palmeri_longread	SRR16958686	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958686.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958686/SRR16958686.fled.filtered.bed	6
