task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
224	8d/da6227	122232	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR3168887)	COMPLETED	0	2026-09-19 12:45:53.202	8m 51s	8m 49s	188.2%	4.8 MB	18.4 MB	14.2 GB	8.7 GB
254	3c/5bc7cf	40395	SAMBLASTER_FIXED (ERR10889843)	COMPLETED	0	2026-09-19 12:30:52.761	34m 21s	34m 17s	134.8%	1 GB	1.1 GB	150.5 GB	150.5 GB
264	10/c18be6	51398	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889852)	COMPLETED	0	2026-09-19 13:05:14.233	15m 46s	15m 40s	179.3%	4.7 MB	18.2 MB	23.6 GB	11.1 GB
235	12/61b033	100848	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR13922190)	COMPLETED	0	2026-09-19 13:21:00.297	10.5s	9s	181.5%	4.7 MB	18.4 MB	296.4 MB	116.9 MB
260	0c/526613	31924	SAMBLASTER_FIXED (ERR10889850)	COMPLETED	0	2026-09-19 12:54:44.488	44m 21s	44m 16s	151.5%	321.3 MB	338.3 MB	266.1 GB	266.1 GB
265	5e/bdd1a5	102019	SAMBLASTER_FIXED (ERR10889852)	COMPLETED	0	2026-09-19 13:21:10.813	25m 19s	25m 15s	178.4%	440.2 MB	482.4 MB	138.8 GB	138.7 GB
245	28/d47357	24696	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR32429746)	COMPLETED	0	2026-09-19 13:46:29.763	2m 49s	2m 46s	157.2%	4.8 MB	18.5 MB	4.1 GB	2.3 GB
263	c4/969380	7787	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889851)	COMPLETED	0	2026-09-19 13:39:05.852	17m 49s	17m 46s	155.1%	4.7 MB	18.2 MB	23.2 GB	7 GB
270	97/174d42	38574	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889855)	COMPLETED	0	2026-09-19 13:49:18.325	11m 17s	11m 13s	161.0%	4.7 MB	18.2 MB	19.1 GB	7.7 GB
258	16/31d440	96678	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889849)	COMPLETED	0	2026-09-19 14:00:35.656	9m 39s	9m 36s	166.2%	4.7 MB	18.2 MB	16.7 GB	6.2 GB
271	e6/3a4b53	84244	SAMBLASTER_FIXED (ERR10889855)	COMPLETED	0	2026-09-19 13:56:55.059	21m 47s	21m 43s	183.1%	259.9 MB	324.3 MB	121.2 GB	121.2 GB
259	0d/37b584	125776	SAMBLASTER_FIXED (ERR10889849)	COMPLETED	0	2026-09-19 14:10:14.756	18m 40s	18m 36s	184.8%	236.8 MB	262.5 MB	104.9 GB	104.9 GB
277	7f/62dc00	15536	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389802)	COMPLETED	0	2026-09-19 14:18:41.834	34m 16s	34m 13s	185.6%	4.7 MB	18.2 MB	50.3 GB	38.8 GB
276	8b/85d036	38876	SAMBLASTER_FIXED (ERR12389802)	COMPLETED	0	2026-09-19 14:28:54.282	45m 58s	45m 55s	216.2%	2.1 GB	2.1 GB	322.6 GB	322.5 GB
283	84/e3507b	73822	SAMBLASTER_FIXED (ERR12389805)	COMPLETED	0	2026-09-19 14:52:58.069	40m 17s	40m 14s	216.3%	2.1 GB	2.1 GB	293.2 GB	293.2 GB
279	22/f7d80f	114793	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389803)	COMPLETED	0	2026-09-19 15:14:52.157	30m 18s	30m 16s	189.3%	4.7 MB	18.2 MB	46.1 GB	34.8 GB
267	43/cbc28f	60959	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR10889853)	COMPLETED	0	2026-09-19 15:45:10.482	12m 10s	12m 5s	179.3%	4.7 MB	18.2 MB	21.7 GB	11.4 GB
278	16/dfb648	14191	SAMBLASTER_FIXED (ERR12389803)	COMPLETED	0	2026-09-19 15:33:15.549	42m	41m 54s	214.1%	2.1 GB	2.2 GB	300.9 GB	300.8 GB
282	2e/82a2f2	92911	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR12389805)	COMPLETED	0	2026-09-19 15:57:20.328	27m 56s	27m 50s	192.9%	4.7 MB	18.2 MB	43.6 GB	31.2 GB
