task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	0a/0897c1	8222	SAMTOOLS_SORT_QNAME_CF (ERR9968691)	COMPLETED	0	2026-09-19 00:07:22.691	6.9s	5.9s	743.8%	1.3 GB	7.4 GB	721.5 MB	780.2 MB
9	89/f93453	8885	SAMTOOLS_SORT_QNAME_CF (ERR6559223)	COMPLETED	0	2026-09-19 00:07:29.589	2.2s	1.3s	705.3%	334.9 MB	7.3 GB	154.7 MB	167.7 MB
98	ee/e57540	9270	SAMTOOLS_SORT_QNAME_CF (ecc-ct-R1)	COMPLETED	0	2026-09-19 00:07:31.868	7m 4s	7m 2s	766.3%	6.8 GB	8 GB	62.8 GB	68.3 GB
1	ef/08a098	23775	SAMTOOLS_SORT_QNAME_CF (ERR1830498)	COMPLETED	0	2026-09-19 00:14:35.498	1.2s	289ms	483.2%	47.1 MB	7.3 GB	24.3 MB	25.4 MB
119	49/33fc81	24337	SAMBLASTER_FIXED (ERR1830498)	COMPLETED	0	2026-09-19 00:14:37.715	1.6s	1s	188.4%	6.5 MB	23.3 MB	88.4 MB	88.3 MB
118	f7/62ec97	24674	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830498)	COMPLETED	0	2026-09-19 00:14:39.372	1.3s	1s	175.4%	4.5 MB	18.2 MB	16.9 MB	6.9 MB
37	25/1ebc80	24104	SAMTOOLS_SORT_QNAME_CF (SRR24335767)	COMPLETED	0	2026-09-19 00:14:36.688	4.2s	3.2s	734.8%	909.9 MB	7.3 GB	381.4 MB	414.7 MB
120	90/1cd803	25085	BEDTOOLS_SPLITBAM2BED_FIXED (ERR1830498)	COMPLETED	0	2026-09-19 00:14:40.741	1.5s	0ms	178.5%	4.5 MB	18.2 MB	16.9 MB	4.9 MB
121	7b/57fc4f	25698	CIRCLEFINDER (ERR1830498)	COMPLETED	0	2026-09-19 00:14:43.281	535ms	329ms	135.1%	1.4 MB	110.6 MB	18.3 MB	6.9 MB
18	0d/d1b98b	25133	SAMTOOLS_SORT_QNAME_CF (SRR10163230)	COMPLETED	0	2026-09-19 00:14:40.867	1m 52s	1m 50s	740.8%	6.7 GB	8 GB	9.2 GB	11.4 GB
65	97/6bfe90	29303	SAMTOOLS_SORT_QNAME_CF (ERR10889838)	COMPLETED	0	2026-09-19 00:16:32.709	3m 34s	3m 32s	767.1%	6.8 GB	8.4 GB	25.9 GB	28 GB
109	99/3d42cb	35388	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-L2)	COMPLETED	0	2026-09-19 00:20:06.740	6m 42s	6m 40s	767.4%	6.7 GB	8 GB	58.7 GB	64.5 GB
92	19/d5ec19	46294	SAMTOOLS_SORT_QNAME_CF (SRR5051136)	COMPLETED	0	2026-09-19 00:26:48.431	2.1s	1.1s	674.4%	8.1 MB	6.5 GB	126.8 MB	131.4 MB
53	0f/6b36b2	46602	SAMTOOLS_SORT_QNAME_CF (CRR3168888)	COMPLETED	0	2026-09-19 00:26:50.538	3m 10s	3m 8s	779.1%	6.7 GB	8 GB	21.1 GB	23.9 GB
56	93/fae43a	51989	SAMTOOLS_SORT_QNAME_CF (SRR13922189)	COMPLETED	0	2026-09-19 00:30:00.456	2.9s	2s	724.5%	472.4 MB	7.3 GB	305.9 MB	326.3 MB
82	f8/a4907b	52412	SAMTOOLS_SORT_QNAME_CF (ERR12389806)	COMPLETED	0	2026-09-19 00:30:03.337	12m 18s	12m 17s	760.0%	6.8 GB	9.3 GB	74.2 GB	87.4 GB
30	d1/002518	73548	SAMTOOLS_SORT_QNAME_CF (SRR24335745)	COMPLETED	0	2026-09-19 00:42:21.494	8.3s	7.3s	679.5%	1.5 GB	7.4 GB	827.5 MB	911.1 MB
113	40/5b35ea	74265	SAMTOOLS_SORT_QNAME_CF (CRR1082978)	COMPLETED	0	2026-09-19 00:42:29.834	7m 50s	7m 48s	674.5%	6.8 GB	8 GB	34.5 GB	40.4 GB
16	70/4b9d13	85894	SAMTOOLS_SORT_QNAME_CF (SRR10163228)	COMPLETED	0	2026-09-19 00:50:19.411	1m 46s	1m 44s	740.6%	6.7 GB	8 GB	8.8 GB	10.9 GB
69	76/eaa530	88913	SAMTOOLS_SORT_QNAME_CF (ERR10889849)	COMPLETED	0	2026-09-19 00:52:05.000	4m 19s	4m 18s	759.3%	6.8 GB	8.4 GB	34.7 GB	37.7 GB
73	55/154cf0	95874	SAMTOOLS_SORT_QNAME_CF (ERR10889853)	COMPLETED	0	2026-09-19 00:56:24.487	4m 56s	4m 54s	767.6%	6.8 GB	8.4 GB	36.9 GB	41.9 GB
99	8e/977e0f	103802	SAMTOOLS_SORT_QNAME_CF (ecc-ct-R2)	COMPLETED	0	2026-09-19 01:01:20.430	9m 57s	9m 54s	767.8%	6.7 GB	8.2 GB	81.4 GB	88 GB
86	ea/e1a305	124552	SAMTOOLS_SORT_QNAME_CF (ERR1830503)	COMPLETED	0	2026-09-19 01:11:17.903	11.4s	9.8s	758.1%	1.9 GB	7.5 GB	965.3 MB	1.1 GB
68	94/2063a5	125553	SAMTOOLS_SORT_QNAME_CF (ERR10889848)	COMPLETED	0	2026-09-19 01:11:29.349	7m 14s	7m 11s	742.7%	6.8 GB	8.4 GB	45.1 GB	50.1 GB
54	be/cc7aaf	10541	SAMTOOLS_SORT_QNAME_CF (CRR3168889)	COMPLETED	0	2026-09-19 01:18:42.863	4m 52s	4m 48s	727.1%	6.7 GB	7.9 GB	25.5 GB	29 GB
2	09/ef011b	18572	SAMTOOLS_SORT_QNAME_CF (ERR1830499)	COMPLETED	0	2026-09-19 01:23:34.751	1.3s	499ms	674.7%	66 MB	6.7 GB	63.5 MB	68.1 MB
122	a0/91d30d	19100	SAMBLASTER_FIXED (ERR1830499)	COMPLETED	0	2026-09-19 01:23:37.097	3.5s	3s	139.7%	7.9 MB	24.4 MB	237.2 MB	237 MB
123	fb/0f582b	19858	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830499)	COMPLETED	0	2026-09-19 01:23:40.615	2.9s	1s	177.1%	4.5 MB	18.2 MB	45.1 MB	17.2 MB
124	e1/acbbc3	20470	BEDTOOLS_SPLITBAM2BED_FIXED (ERR1830499)	COMPLETED	0	2026-09-19 01:23:43.541	2.8s	1s	191.2%	4.5 MB	18.2 MB	45.1 MB	12.9 MB
125	74/2d0faf	21140	CIRCLEFINDER (ERR1830499)	COMPLETED	0	2026-09-19 01:23:47.359	729ms	568ms	131.7%	1.4 MB	110.6 MB	52.9 MB	22.4 MB
110	55/08f850	18881	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-R1)	COMPLETED	0	2026-09-19 01:23:36.091	6m 40s	6m 37s	719.2%	6.7 GB	8 GB	51.2 GB	54.2 GB
91	8d/be6ee3	33309	SAMTOOLS_SORT_QNAME_CF (ERR1830508)	COMPLETED	0	2026-09-19 01:30:15.727	4s	2.9s	753.6%	645.9 MB	7.4 GB	367.4 MB	380 MB
112	83/780456	33737	SAMTOOLS_SORT_QNAME_CF (CRR1082977)	COMPLETED	0	2026-09-19 01:30:19.699	7m 23s	7m 20s	698.3%	6.7 GB	8 GB	31.8 GB	38.1 GB
41	d8/817925	57489	SAMTOOLS_SORT_QNAME_CF (SRR24335771)	COMPLETED	0	2026-09-19 01:37:42.245	8.5s	7.3s	709.3%	1.3 GB	7.4 GB	722 MB	780.7 MB
44	af/2b6264	59881	SAMTOOLS_SORT_QNAME_CF (SRR24335774)	COMPLETED	0	2026-09-19 01:37:50.739	3.2s	2s	717.9%	488.6 MB	7.3 GB	238.5 MB	253.1 MB
87	7c/1e8973	60477	SAMTOOLS_SORT_QNAME_CF (ERR1830504)	COMPLETED	0	2026-09-19 01:37:53.978	4.8s	3.5s	764.8%	834.6 MB	7.4 GB	477.9 MB	523.2 MB
80	74/4944b9	61676	SAMTOOLS_SORT_QNAME_CF (ERR12389804)	COMPLETED	0	2026-09-19 01:37:58.821	13m 32s	13m 29s	690.2%	6.8 GB	9.1 GB	68.8 GB	81.9 GB
43	97/46a53d	109281	SAMTOOLS_SORT_QNAME_CF (SRR24335773)	COMPLETED	0	2026-09-19 01:51:31.160	5.6s	4s	720.2%	1.1 GB	7.4 GB	441.4 MB	502.7 MB
114	4b/f1d3a5	109795	SAMTOOLS_SORT_QNAME_CF (CRR1082979)	COMPLETED	0	2026-09-19 01:51:36.816	8m	7m 57s	715.6%	6.7 GB	8.1 GB	37.3 GB	45.2 GB
29	8e/811742	127741	SAMTOOLS_SORT_QNAME_CF (SRR24335744)	COMPLETED	0	2026-09-19 01:59:36.582	7.4s	6.3s	771.2%	1.6 GB	7.4 GB	868.9 MB	942.8 MB
4	2f/f004a6	128339	SAMTOOLS_SORT_QNAME_CF (ERR1830501)	COMPLETED	0	2026-09-19 01:59:44.032	2.3s	1.3s	710.0%	312.2 MB	7.3 GB	180.9 MB	199.4 MB
55	e3/ecbb96	128693	SAMTOOLS_SORT_QNAME_CF (CRR3168890)	COMPLETED	0	2026-09-19 01:59:46.318	3m 36s	3m 33s	769.3%	6.7 GB	7.9 GB	24.6 GB	27.9 GB
32	89/e23291	3317	SAMTOOLS_SORT_QNAME_CF (SRR24335747)	COMPLETED	0	2026-09-19 02:03:22.262	6.7s	5.7s	738.3%	1.3 GB	7.4 GB	732.8 MB	806.6 MB
102	f7/81a68b	3937	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-R1)	COMPLETED	0	2026-09-19 02:03:28.980	5m 38s	5m 35s	747.6%	6.7 GB	8 GB	51.6 GB	55 GB
15	b5/97dd91	11016	SAMTOOLS_SORT_QNAME_CF (ERR9968693)	COMPLETED	0	2026-09-19 02:09:07.110	7.9s	6.7s	741.3%	1.5 GB	7.4 GB	868.4 MB	942.4 MB
77	0f/634e74	11628	SAMTOOLS_SORT_QNAME_CF (ERR12389801)	COMPLETED	0	2026-09-19 02:09:15.058	11m 53s	11m 51s	722.6%	6.8 GB	9.1 GB	64.2 GB	77.8 GB
57	61/2d07c7	67364	SAMTOOLS_SORT_QNAME_CF (SRR13922190)	COMPLETED	0	2026-09-19 02:21:07.992	4s	2.7s	734.2%	645.3 MB	7.3 GB	417.7 MB	446.7 MB
88	a7/1af3e7	68296	SAMTOOLS_SORT_QNAME_CF (ERR1830505)	COMPLETED	0	2026-09-19 02:21:12.034	8.7s	7.3s	697.3%	1.6 GB	7.4 GB	927.4 MB	977.8 MB
71	d7/fcf846	71019	SAMTOOLS_SORT_QNAME_CF (ERR10889851)	COMPLETED	0	2026-09-19 02:21:20.718	8m 6s	8m 4s	719.1%	6.8 GB	8.5 GB	52.4 GB	55.1 GB
93	4f/2fb6d6	60081	SAMTOOLS_SORT_QNAME_CF (SRR5051137)	COMPLETED	0	2026-09-19 02:29:26.747	2.2s	1.2s	646.3%	31.4 MB	6.7 GB	127 MB	129.3 MB
31	b5/d0056c	60481	SAMTOOLS_SORT_QNAME_CF (SRR24335746)	COMPLETED	0	2026-09-19 02:29:28.972	3.8s	2.6s	678.2%	692.1 MB	7.4 GB	287.4 MB	311.6 MB
60	62/85d96f	61154	SAMTOOLS_SORT_QNAME_CF (CRR1082975)	COMPLETED	0	2026-09-19 02:29:32.741	5m 38s	5m 35s	730.9%	6.8 GB	8 GB	28.2 GB	31.8 GB
34	ab/68c04d	72283	SAMTOOLS_SORT_QNAME_CF (SRR24335752)	COMPLETED	0	2026-09-19 02:35:10.252	7.9s	6.8s	746.2%	1.5 GB	7.4 GB	846 MB	930.3 MB
111	7d/fb683d	72915	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-R2)	COMPLETED	0	2026-09-19 02:35:18.126	10m 1s	9m 59s	749.4%	6.7 GB	8.2 GB	87.9 GB	94.4 GB
51	3a/87b99b	87703	SAMTOOLS_SORT_QNAME_CF (CRR3168886)	COMPLETED	0	2026-09-19 02:45:19.124	3m 15s	3m 12s	773.1%	6.7 GB	7.9 GB	21.5 GB	24.6 GB
24	37/7763b9	91594	SAMTOOLS_SORT_QNAME_CF (SRR10163236)	COMPLETED	0	2026-09-19 02:48:33.896	1m 37s	1m 35s	739.2%	6.8 GB	8.4 GB	10.9 GB	10.7 GB
70	90/85037d	94757	SAMTOOLS_SORT_QNAME_CF (ERR10889850)	COMPLETED	0	2026-09-19 02:50:10.540	10m 28s	10m 24s	692.4%	6.8 GB	8.9 GB	65.8 GB	68.8 GB
35	72/28971e	105867	SAMTOOLS_SORT_QNAME_CF (SRR24335763)	COMPLETED	0	2026-09-19 03:00:38.654	3.9s	2.6s	661.3%	624.6 MB	7.4 GB	277.3 MB	300.3 MB
105	02/698dfe	106450	SAMTOOLS_SORT_QNAME_CF (ecc-ct-L2)	COMPLETED	0	2026-09-19 03:00:42.554	6m 44s	6m 40s	723.1%	6.7 GB	8 GB	55.1 GB	59.6 GB
14	13/648064	118121	SAMTOOLS_SORT_QNAME_CF (ERR9968692)	COMPLETED	0	2026-09-19 03:07:26.610	8.2s	6.4s	747.2%	1.5 GB	7.4 GB	827.1 MB	910.7 MB
74	89/d6c232	118753	SAMTOOLS_SORT_QNAME_CF (ERR10889854)	COMPLETED	0	2026-09-19 03:07:34.768	7m 46s	7m 44s	718.5%	6.8 GB	8.4 GB	56.2 GB	63.2 GB
48	00/304223	128586	SAMTOOLS_SORT_QNAME_CF (ERR11535565)	COMPLETED	0	2026-09-19 03:15:20.639	1m 47s	1m 45s	671.5%	6.7 GB	8 GB	9.8 GB	11.1 GB
85	a9/049ee2	1194	SAMTOOLS_SORT_QNAME_CF (ERR1830502)	COMPLETED	0	2026-09-19 03:17:07.882	5.4s	4.4s	710.6%	976.2 MB	7.4 GB	559.7 MB	616.9 MB
23	3e/39c7a6	1758	SAMTOOLS_SORT_QNAME_CF (SRR10163235)	COMPLETED	0	2026-09-19 03:17:13.278	2m 8s	2m 7s	730.7%	6.7 GB	8 GB	11.4 GB	13.3 GB
17	c3/54c6e7	5514	SAMTOOLS_SORT_QNAME_CF (SRR10163229)	COMPLETED	0	2026-09-19 03:19:21.747	2m 2s	1m 59s	730.5%	6.7 GB	8 GB	9.6 GB	12.1 GB
52	95/509f81	8686	SAMTOOLS_SORT_QNAME_CF (CRR3168887)	COMPLETED	0	2026-09-19 03:21:23.416	3m 24s	3m 21s	749.3%	6.7 GB	8 GB	23 GB	25.8 GB
89	d5/ce406f	12651	SAMTOOLS_SORT_QNAME_CF (ERR1830506)	COMPLETED	0	2026-09-19 03:24:47.543	7s	5.9s	696.1%	1.3 GB	7.4 GB	762.6 MB	803.1 MB
76	b6/db117b	13213	SAMTOOLS_SORT_QNAME_CF (ERR12389800)	COMPLETED	0	2026-09-19 03:24:54.575	12m 12s	12m 11s	741.4%	6.8 GB	9.2 GB	69.8 GB	83.3 GB
26	5f/63b88c	43266	SAMTOOLS_SORT_QNAME_CF (SRR10163238)	COMPLETED	0	2026-09-19 03:37:07.045	2m 31s	2m 29s	705.6%	6.8 GB	8 GB	10.9 GB	13.5 GB
28	08/87196b	54826	SAMTOOLS_SORT_QNAME_CF (SRR24335743)	COMPLETED	0	2026-09-19 03:39:38.092	3.7s	2.6s	694.6%	716.2 MB	7.3 GB	258.3 MB	308.9 MB
100	d0/024d21	55278	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-L1)	COMPLETED	0	2026-09-19 03:39:41.796	8m 18s	8m 16s	699.1%	6.7 GB	8 GB	58.4 GB	64.5 GB
8	1e/852468	78074	SAMTOOLS_SORT_QNAME_CF (ERR6326077)	COMPLETED	0	2026-09-19 03:47:59.978	3.6s	2.6s	685.7%	597 MB	7.3 GB	233.2 MB	264.3 MB
50	5f/9a6e31	78480	SAMTOOLS_SORT_QNAME_CF (CRR3168885)	COMPLETED	0	2026-09-19 03:48:03.570	4m	3m 57s	752.5%	6.7 GB	7.9 GB	25.4 GB	28.8 GB
115	d8/505d71	118140	SAMTOOLS_SORT_QNAME_CF (CRR1082980)	COMPLETED	0	2026-09-19 03:52:03.543	6m 12s	6m 10s	755.4%	6.8 GB	8.4 GB	34.6 GB	38.5 GB
95	5f/7c9d5b	2017	SAMTOOLS_SORT_QNAME_CF (SRR5051139)	COMPLETED	0	2026-09-19 03:58:15.457	3.1s	2.2s	682.2%	493 MB	7.3 GB	236 MB	252.5 MB
19	50/614ab7	2472	SAMTOOLS_SORT_QNAME_CF (SRR10163231)	COMPLETED	0	2026-09-19 03:58:18.545	1m 50s	1m 49s	696.0%	6.8 GB	8 GB	8.1 GB	9.9 GB
63	68/e00be1	6090	SAMTOOLS_SORT_QNAME_CF (SRR32429747)	COMPLETED	0	2026-09-19 04:00:08.652	1m 16s	1m 15s	725.5%	6.7 GB	8 GB	8 GB	8.6 GB
64	07/4093f5	9853	SAMTOOLS_SORT_QNAME_CF (SRR32429748)	COMPLETED	0	2026-09-19 04:01:24.650	1m 21s	1m 20s	712.8%	6.7 GB	7.9 GB	8.1 GB	8.7 GB
40	09/2df674	15126	SAMTOOLS_SORT_QNAME_CF (SRR24335770)	COMPLETED	0	2026-09-19 04:02:46.062	4.9s	3.9s	695.1%	1 GB	7.4 GB	425.3 MB	468 MB
67	02/50efe5	15590	SAMTOOLS_SORT_QNAME_CF (ERR10889843)	COMPLETED	0	2026-09-19 04:02:50.941	6m 44s	6m 42s	745.6%	6.8 GB	8.3 GB	47.3 GB	53 GB
107	02/f53d59	30617	SAMTOOLS_SORT_QNAME_CF (ecc-ct-R2)	COMPLETED	0	2026-09-19 04:09:34.489	9m 25s	9m 24s	741.3%	6.7 GB	8.2 GB	80.4 GB	86.4 GB
62	fb/c4b543	41839	SAMTOOLS_SORT_QNAME_CF (SRR32429746)	COMPLETED	0	2026-09-19 04:18:59.610	1m 10s	1m 9s	721.1%	6.7 GB	8 GB	7.5 GB	8.2 GB
49	fe/40f770	43740	SAMTOOLS_SORT_QNAME_CF (ERR6004146)	COMPLETED	0	2026-09-19 04:20:09.684	5m 38s	5m 36s	746.1%	6.7 GB	8 GB	40 GB	46.3 GB
104	83/a7bfd0	52423	SAMTOOLS_SORT_QNAME_CF (ecc-ct-L1)	COMPLETED	0	2026-09-19 04:25:47.718	9m 7s	9m 6s	737.1%	6.7 GB	8.1 GB	75.6 GB	82 GB
12	b8/ed0d0b	62330	SAMTOOLS_SORT_QNAME_CF (ERR9968690)	COMPLETED	0	2026-09-19 04:34:55.056	6.7s	5.7s	737.2%	1.3 GB	7.4 GB	732.4 MB	806.2 MB
108	f0/51d5a0	62961	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-L1)	COMPLETED	0	2026-09-19 04:35:01.717	7m 23s	7m 22s	727.7%	6.7 GB	8 GB	57.4 GB	62.9 GB
78	04/ecaf60	78567	SAMTOOLS_SORT_QNAME_CF (ERR12389802)	COMPLETED	0	2026-09-19 04:42:24.870	12m 8s	12m 6s	734.1%	6.8 GB	9.1 GB	68.5 GB	80.7 GB
39	9f/d8bbc2	91424	SAMTOOLS_SORT_QNAME_CF (SRR24335769)	COMPLETED	0	2026-09-19 04:54:32.679	13.6s	12.6s	716.9%	2.7 GB	7.5 GB	1.3 GB	1.4 GB
75	02/61b20e	92299	SAMTOOLS_SORT_QNAME_CF (ERR10889855)	COMPLETED	0	2026-09-19 04:54:46.290	4m 56s	4m 54s	762.5%	6.8 GB	8.4 GB	36.9 GB	41 GB
101	31/cb5f6a	100361	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-L2)	COMPLETED	0	2026-09-19 04:59:42.018	7m 9s	7m 7s	745.3%	6.7 GB	8 GB	59.5 GB	65.8 GB
59	6a/43031c	108613	SAMTOOLS_SORT_QNAME_CF (SRR13922192)	COMPLETED	0	2026-09-19 05:06:50.686	3.3s	2.4s	694.8%	537.2 MB	7.3 GB	349.3 MB	371.3 MB
42	21/0b9f8a	109029	SAMTOOLS_SORT_QNAME_CF (SRR24335772)	COMPLETED	0	2026-09-19 05:06:53.994	3.6s	2.7s	699.2%	745.5 MB	7.3 GB	275.3 MB	323.6 MB
38	7f/ff55bc	109462	SAMTOOLS_SORT_QNAME_CF (SRR24335768)	COMPLETED	0	2026-09-19 05:06:57.598	9.3s	8.2s	716.3%	2 GB	7.6 GB	1004.8 MB	1 GB
72	0f/accbea	110184	SAMTOOLS_SORT_QNAME_CF (ERR10889852)	COMPLETED	0	2026-09-19 05:07:06.925	5m 46s	5m 44s	754.2%	6.8 GB	8.4 GB	42.8 GB	48.1 GB
94	db/7b240d	116689	SAMTOOLS_SORT_QNAME_CF (SRR5051138)	COMPLETED	0	2026-09-19 05:12:52.657	2.8s	1.9s	697.5%	475.1 MB	7.3 GB	215.3 MB	236.1 MB
11	13/e834af	117075	SAMTOOLS_SORT_QNAME_CF (ERR9968689)	COMPLETED	0	2026-09-19 05:12:55.492	7.7s	6.8s	733.7%	1.5 GB	7.4 GB	845.5 MB	929.8 MB
45	25/9b9c93	117699	SAMTOOLS_SORT_QNAME_CF (SRR24335775)	COMPLETED	0	2026-09-19 05:13:03.209	8s	7s	743.7%	1.6 GB	7.4 GB	916.7 MB	983.9 MB
21	bf/14c384	118320	SAMTOOLS_SORT_QNAME_CF (SRR10163233)	COMPLETED	0	2026-09-19 05:13:11.175	1m 41s	1m 39s	715.7%	6.7 GB	8 GB	8.8 GB	10.3 GB
47	ba/4af2ff	120969	SAMTOOLS_SORT_QNAME_CF (ERR11535564)	COMPLETED	0	2026-09-19 05:14:51.838	1m 29s	1m 28s	741.3%	6.7 GB	8 GB	9 GB	10.2 GB
36	3f/c112d4	123251	SAMTOOLS_SORT_QNAME_CF (SRR24335766)	COMPLETED	0	2026-09-19 05:16:21.272	3.8s	2.8s	660.2%	698.6 MB	7.3 GB	297.4 MB	321.3 MB
5	c8/96f134	123659	SAMTOOLS_SORT_QNAME_CF (ERR6326000)	COMPLETED	0	2026-09-19 05:16:25.083	2.4s	1.5s	649.4%	327.9 MB	7.3 GB	154.7 MB	167.7 MB
20	04/3304df	123997	SAMTOOLS_SORT_QNAME_CF (SRR10163232)	COMPLETED	0	2026-09-19 05:16:27.510	1m 58s	1m 57s	723.7%	6.7 GB	7.9 GB	8.8 GB	11.3 GB
117	ed/a71df8	126567	SAMTOOLS_SORT_QNAME_CF (CRR924679)	COMPLETED	0	2026-09-19 05:18:25.714	6m 18s	6m 16s	743.1%	6.8 GB	8 GB	33.2 GB	35.4 GB
46	5a/f8415a	2931	SAMTOOLS_SORT_QNAME_CF (ERR11535563)	COMPLETED	0	2026-09-19 05:24:44.140	1m 5s	1m 4s	752.9%	6.7 GB	8 GB	6.9 GB	7.7 GB
6	3a/514ba4	5157	SAMTOOLS_SORT_QNAME_CF (ERR6326075)	COMPLETED	0	2026-09-19 05:25:49.387	2.9s	1.9s	701.6%	465.9 MB	7.3 GB	201.6 MB	223.3 MB
96	9f/cd0a95	5536	SAMTOOLS_SORT_QNAME_CF (ecc-ct-L1)	COMPLETED	0	2026-09-19 05:25:52.293	9m 1s	8m 59s	747.1%	6.7 GB	8 GB	76.6 GB	83.6 GB
97	1b/aa4eb2	15913	SAMTOOLS_SORT_QNAME_CF (ecc-ct-L2)	COMPLETED	0	2026-09-19 05:34:53.370	6m 37s	6m 35s	738.8%	6.7 GB	8 GB	55.7 GB	60.6 GB
90	35/485f3c	23113	SAMTOOLS_SORT_QNAME_CF (ERR1830507)	COMPLETED	0	2026-09-19 05:41:30.380	5.7s	4.7s	693.9%	998.7 MB	7.4 GB	526.9 MB	551.8 MB
81	18/8e2fa5	23611	SAMTOOLS_SORT_QNAME_CF (ERR12389805)	COMPLETED	0	2026-09-19 05:41:36.123	10m 51s	10m 49s	733.3%	6.8 GB	9 GB	60.9 GB	72.3 GB
84	31/411a40	37440	SAMTOOLS_SORT_QNAME_CF (ERR12389808)	COMPLETED	0	2026-09-19 05:52:27.114	11m 59s	11m 57s	752.5%	6.8 GB	9.1 GB	68.1 GB	82 GB
79	3a/83f6ef	48552	SAMTOOLS_SORT_QNAME_CF (ERR12389803)	COMPLETED	0	2026-09-19 06:04:25.719	11m	10m 54s	736.9%	6.8 GB	8.9 GB	59.9 GB	72.6 GB
33	79/c347ee	64464	SAMTOOLS_SORT_QNAME_CF (SRR24335748)	COMPLETED	0	2026-09-19 06:15:25.462	13.7s	5.8s	626.6%	1.1 GB	7.4 GB	442.9 MB	492.3 MB
106	1c/2cf86c	65470	SAMTOOLS_SORT_QNAME_CF (ecc-ct-R1)	COMPLETED	0	2026-09-19 06:15:39.162	7m 29s	7m 27s	743.6%	6.7 GB	8 GB	62 GB	67.1 GB
103	a2/964ffe	97961	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-R2)	COMPLETED	0	2026-09-19 06:23:08.159	10m 4s	10m 2s	753.3%	6.7 GB	8.2 GB	88.9 GB	96.2 GB
22	20/08b400	111577	SAMTOOLS_SORT_QNAME_CF (SRR10163234)	COMPLETED	0	2026-09-19 06:33:11.922	1m 37s	1m 35s	735.5%	6.8 GB	8.4 GB	10 GB	9.8 GB
10	50/7d1708	113885	SAMTOOLS_SORT_QNAME_CF (ERR9968613)	COMPLETED	0	2026-09-19 06:34:48.530	8.1s	7.1s	747.8%	1.6 GB	7.4 GB	916.2 MB	983.3 MB
66	e5/7939fa	114532	SAMTOOLS_SORT_QNAME_CF (ERR10889842)	COMPLETED	0	2026-09-19 06:34:56.614	4m 55s	4m 53s	752.9%	6.8 GB	8 GB	35.9 GB	40.1 GB
7	9e/94c8ff	119966	SAMTOOLS_SORT_QNAME_CF (ERR6326076)	COMPLETED	0	2026-09-19 06:39:51.217	2.3s	1.4s	682.2%	306.6 MB	7.4 GB	138.7 MB	156.7 MB
27	50/8106c5	120338	SAMTOOLS_SORT_QNAME_CF (SRR10163239)	COMPLETED	0	2026-09-19 06:39:53.534	1m 48s	1m 46s	740.3%	6.7 GB	8 GB	9.2 GB	11.1 GB
25	c3/3591fe	123147	SAMTOOLS_SORT_QNAME_CF (SRR10163237)	COMPLETED	0	2026-09-19 06:41:41.338	1m 35s	1m 34s	731.4%	6.8 GB	8.4 GB	10.5 GB	10.4 GB
116	2c/143e29	125453	SAMTOOLS_SORT_QNAME_CF (CRR924678)	COMPLETED	0	2026-09-19 06:43:16.695	5m 27s	5m 24s	758.0%	6.8 GB	8 GB	29.8 GB	30.6 GB
61	4d/1a0b16	1039	SAMTOOLS_SORT_QNAME_CF (CRR1082976)	COMPLETED	0	2026-09-19 06:48:43.378	6m 55s	6m 53s	736.0%	6.7 GB	8 GB	36.5 GB	41.4 GB
58	41/22c236	9315	SAMTOOLS_SORT_QNAME_CF (SRR13922191)	COMPLETED	0	2026-09-19 06:55:38.809	3.4s	2.3s	670.0%	500.7 MB	7.3 GB	321.8 MB	344.4 MB
3	a8/92b60b	9713	SAMTOOLS_SORT_QNAME_CF (ERR1830500)	COMPLETED	0	2026-09-19 06:55:42.183	1.9s	845ms	639.5%	9.1 MB	6.5 GB	94.3 MB	103.4 MB
126	d1/bb2732	10013	SAMBLASTER_FIXED (ERR1830500)	COMPLETED	0	2026-09-19 06:55:44.066	6.3s	4s	177.0%	10.9 MB	27.4 MB	394.7 MB	394.6 MB
130	37/b3eef9	11229	SAMBLASTER_FIXED (ERR6326000)	COMPLETED	0	2026-09-19 06:55:50.346	8.7s	7s	181.2%	10.9 MB	27.4 MB	738.9 MB	738.7 MB
132	70/53e7f9	12525	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR6326075)	COMPLETED	0	2026-09-19 06:55:59.040	8.2s	6s	176.7%	4.6 MB	18.2 MB	168.5 MB	91.7 MB
135	7d/54f128	13360	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR6326076)	COMPLETED	0	2026-09-19 06:56:07.284	4.8s	4s	180.4%	4.6 MB	18.2 MB	115.5 MB	56 MB
