dataset	sample	rows	output	status
Arabidopsis_thaliana	SRR24335772	8643	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder/SRR24335772.microDNA-JT.txt	completed
Arabidopsis_thaliana	SRR24335773	13156	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder/SRR24335773.microDNA-JT.txt	completed
Arabidopsis_thaliana	SRR24335774	3514	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder/SRR24335774.microDNA-JT.txt	completed
Arabidopsis_thaliana	SRR24335775	13221	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder/SRR24335775.microDNA-JT.txt	completed
Artemisia_annua	ERR11535563	546	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Artemisia_annua/circlefinder/ERR11535563.microDNA-JT.txt	completed
Artemisia_annua	ERR11535564	712	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Artemisia_annua/circlefinder/ERR11535564.microDNA-JT.txt	completed
Artemisia_annua	ERR11535565	646	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Artemisia_annua/circlefinder/ERR11535565.microDNA-JT.txt	completed
Beta_vulgaris	ERR6004146	23317	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Beta_vulgaris/circlefinder/ERR6004146.microDNA-JT.txt	completed
Cynodon_dactylon	CRR3168885	2399	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Cynodon_dactylon/circlefinder/CRR3168885.microDNA-JT.txt	completed
Cynodon_dactylon	CRR3168886	1638	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Cynodon_dactylon/circlefinder/CRR3168886.microDNA-JT.txt	completed
Cynodon_dactylon	CRR3168887	13954	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Cynodon_dactylon/circlefinder/CRR3168887.microDNA-JT.txt	completed
Cynodon_dactylon	CRR3168888	1714	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Cynodon_dactylon/circlefinder/CRR3168888.microDNA-JT.txt	completed
Cynodon_dactylon	CRR3168889	1644	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Cynodon_dactylon/circlefinder/CRR3168889.microDNA-JT.txt	completed
Cynodon_dactylon	CRR3168890	2744	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Cynodon_dactylon/circlefinder/CRR3168890.microDNA-JT.txt	completed
Daucus_carota	SRR13922189	5	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Daucus_carota/circlefinder/SRR13922189.microDNA-JT.txt	completed
Daucus_carota	SRR13922190	26	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Daucus_carota/circlefinder/SRR13922190.microDNA-JT.txt	completed
Daucus_carota	SRR13922191	2	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Daucus_carota/circlefinder/SRR13922191.microDNA-JT.txt	completed
Daucus_carota	SRR13922192	10	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Daucus_carota/circlefinder/SRR13922192.microDNA-JT.txt	completed
Lycium_ruthenicum	CRR1082975	36108	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Lycium_ruthenicum/circlefinder/CRR1082975.microDNA-JT.txt	completed
Lycium_ruthenicum	CRR1082976	78041	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Lycium_ruthenicum/circlefinder/CRR1082976.microDNA-JT.txt	completed
Nicotiana_benthamiana	SRR32429746	3744	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Nicotiana_benthamiana/circlefinder/SRR32429746.microDNA-JT.txt	completed
Nicotiana_benthamiana	SRR32429747	1979	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Nicotiana_benthamiana/circlefinder/SRR32429747.microDNA-JT.txt	completed
Nicotiana_benthamiana	SRR32429748	1953	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Nicotiana_benthamiana/circlefinder/SRR32429748.microDNA-JT.txt	completed
Oryza_sativa	ERR10889838	4545	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Oryza_sativa/circlefinder/ERR10889838.microDNA-JT.txt	completed
Oryza_sativa	ERR10889842	418852	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Oryza_sativa/circlefinder/ERR10889842.microDNA-JT.txt	completed
